slug,era_slug,material_slug,concept_slugs,title_zh_hans,accession_number,dynasty_zh_hans,material_zh_hans,summary_zh_hans,overview_zh_hans,hero_image,craft_title_zh_hans,craft_summary_zh_hans,craft_image,culture_title_zh_hans,culture_body_zh_hans,culture_image_1,culture_image_1_caption_zh_hans,featured_on_home
song-jianyangheiyoutuhao-zhan,song,ceramic,utility||zen,宋建阳窑黑釉兔毫盏,No. 2026-001,宋,瓷器,兔毫盏是宋代最具代表性的斗茶专用器。,宋代建阳窑黑釉兔毫盏，出土于福建省南平市建阳区一带，现藏于故宫博物院。高5.8厘米，口径12.8厘米，足径3.9厘米。||盏撇口，斜直壁，小圈足。内壁满釉。外施施釉不到底，腹下部釉垂流如泪痕。口沿处釉呈酱色，其下渐为褐黑相间，内底纯黑色，外底露胎处呈铁黑色。釉中有丝状黑褐色兔毛般结晶，俗称“兔毫”。||兔毫盏是宋代最具代表性的斗茶专用器。其深腹厚壁、盏底微收，适于击拂点茶并保温性强，釉色以青黑为贵，凸显茶汤乳雾色，契合《大观茶论》中“盏色贵青黑，玉毫条达者为上”的标准；其釉下“泪痕垂流”与内壁“兔毫”纹理，展现建阳窑独有的美学技艺。,/images/objects/song-jianyangheiyoutuhao-zhan/hero.png,兔毫,兔毫纹的成因属于窑变，是烧成过程中自然所致。这是由于釉料的配方中含铁量极高，当这种釉料在1300°C的高温下，铁处于过饱和状态时，聚集在釉面上的结晶体发生变形流动，从而形成了流动状态的结晶釉，这就是所谓的“兔毫”。||兔毫，作为建盏的标志性釉色，在宋代诸多文献中均有详尽记载，如宋徽宗的《大观茶论》、蔡襄的《茶录》以及祝穆的《方舆胜览》等。值得一提的是，《茶具图赞》作为首部茶具图谱，以精美的绘图记录了宋朝茶具的盛况，其中兔毫盏便被选为代表茶碗的形象。兔毫的色泽丰富多彩，包括银、青、褐等多种色彩，进一步细分则有金、黄、银蓝等珍稀色泽。在形态上，兔毫也各有差异，或长或短，或粗或细，为建盏增添了无穷魅力。,/images/objects/song-jianyangheiyoutuhao-zhan/craft-01.png,文化解读,宋代的饮茶之风非常流行，在民间，茶等同于米、盐，一天也不能缺少。上自官府，下至民间，不可或缺。李觏说:茶，“君子小人靡不嗜也，富贵贫贱靡不用也”(《李觏集》卷16《富国策第十》)。人们都以茶作为生活的必需品。||斗茶用的茶盏，有一些比较特殊的要求，据《大观茶论·盏》所说:“盏色贵青黑，玉毫条达者为上，取其燠发茶采色也。底必差深而微宽。底深则茶宜立而易以取乳;宽则运筅旋彻，不碍击拂。然须度茶之多少，用盏之小大。盏高茶少，则掩蔽茶色;茶多盏小，则受汤不尽。盏惟热，则茶发立耐久。”建州窑所出的建盏，是宋代最好的斗茶用盏。蔡襄《茶录·论茶器》说:“茶盏:茶色白，宜黑盏。建安所造者绀黑，纹如兔毫，其杯微厚，之久热难冷，最为要用。出他处者，或薄或色紫，皆不及也。其青白盏，斗试家自不用。”||兔毫盏不仅是实用器，更承载了宋代文人阶层“斗茶”文化。北苑贡茶、宫廷茶宴与士大夫雅集中，兔毫盏是身份、品味与审美的象征。如宋徽宗、蔡襄、范仲淹等人均对兔毫盏赞誉有加，文献与诗歌频繁记载其斗茶盛况。黑釉之深、纹理之密、形制之沉稳皆与“士人审美”中的“文质兼美”“拙中寓巧”相契，是宋人追求典雅、高古、内敛美学的典型体现。,/images/objects/song-jianyangheiyoutuhao-zhan/culture-01.png,,TRUE
song-tixiqibing-tuanshan,song,lacquer,harmony||utility,南宋剔犀漆柄团扇,No. 2026-002,宋,漆器,南宋剔犀漆柄团扇，1998年出土于邵武故县村南宋黄涣墓，现藏于邵武市博物馆。,南宋剔犀漆柄团扇，1998年出土于邵武故县村南宋黄涣墓，现藏于邵武市博物馆。长46.8 CM，宽23. 6CM，厚0.1-1.2 CM带柄，扇面大体呈椭圆形，框骨以极细的竹丝制成，正背二面裱细绢，柄以檀香木制成圆柱体，并采用剔犀漆工艺浅浮雕饰缠枝花卉。整器工艺巧妙精湛。出土扇柄保存较好，柄体剔犀工艺精美，纹饰清晰。扇面颜色已残失。||此面团扇，从其复杂精美的制作工艺看，与福州南宋黄升墓、福州南宋端平二年墓出土的团扇相似，属于当时上层社会中比较流行的日用装饰器具。,/images/objects/song-tixiqibing-tuanshan/hero.png,剔犀,剔犀系漆器工艺。一般情况下都是两种色漆（多以红黑为主），在胎骨上先用一种颜色漆刷若干道，积成一个厚度，再换另一种颜色漆刷若干道，有规律地使两种色层达到一定厚度，然后用刀以45度角雕刻出回纹、云钩、剑环、卷草等不同的图案。||剔犀工艺在唐代始有出现，至元代趋于顶峰，同时涌现出一批如张成、杨茂等著名的匠师。,/images/objects/song-tixiqibing-tuanshan/craft-01.png,文化解读,宋代扇子的使用十分普遍，时有“一九至二九，扇子不离手”的民谚。品种甚多，按形状分，有单门扇、团扇、折扇等;按制作材料分，则有纸扇、羽毛扇、绸扇、蒲扇、葵扇、棕扇、骨扇、麦秆扇等。团扇又称宫扇、纨扇。中国传统工艺品及艺术品。是一种圆形或近似圆形有柄的扇子。团扇起源于中国。扇子最早出现在商代，用五光十色的野鸡毛制成，称之为“障扇”。当时，扇子不是用来扇风取凉，而是作为帝王外出巡视时遮阳挡风避沙之用。西汉以后，扇子开始用来取凉。东汉之后，大都改羽扇为丝、绢、绫罗之类织品，以便点缀绣画，也开始有木、竹、骨等材之柄;还有扇坠、流苏、玉器之饰。||扇子尝以引风、障日、遮面、仪仗等功用为古人青睐。南宋建都杭州，入夏之前，还有一个潮湿闷热的梅雨季，扇子和扇画在数量和创意上都实现了爆发式增长。吴自牧在《梦粱录》中记载，杭州城里的扇子铺，专营店就有陈家画团扇铺、周家折揲扇铺等，种类有细画绢扇、细色纸扇、漏尘扇柄、异色影花扇……夏天一到，满杭州城摇曳的扇子上，都是画家们的山水、花果、珍禽、人物等各种小品。这些宋代扇画迄今为止尚有许多遗存，其中仅《宋人画册》所收的一百幅小品中，就有66 幅为纨扇画。||此种椭圆团扇在宋代非常流行，不仅在宋徽宗《听琴图》中出现，还在其他宋墓中屡有发现，比如江苏金坛太学生周瑀墓（1189年）、福州黄昇墓（1243年）和福州端平二年墓（1235年）。从这面团扇复杂的制作工艺来看，它应该是当时上流社会中比较流行的日用物件。||该器出自于邵武故县村南宋黄涣墓。黄涣，男性，字德亨，邵武光泽人，南宋绍兴十七年（1147年），卒于宝庆二年（1226年），卒年八十。为朱熹弟子黄干黄氏家族邵武派的成员，在《八闽通志》和邵武地方志中均有记载，师从吕祖谦，淳熙五年科举考试中为南省第二，三十一岁中进士，历任太学博士、京西议幕、岳州知郡等职，其为官从政主要业绩为“罢厨傅、蠲鱼税、捕淫祠”，是一位勤政亲明的地方官吏。||从黄涣生平简介及随葬品来看，黄涣不仅是个亲民勤政的官员，更是一位注重生活品质之人，随葬品中除了团扇，还发现大量茶器，不难让我们想象出烧茶执扇，斗茶论诗，谈笔风声，优雅闲情的美好生活场景，窥视出黄涣是个很有闲情逸志之人。另外，也颠覆了在大家印象中，团扇只是女性使用的专例。,/images/objects/song-tixiqibing-tuanshan/culture-01.png,宋徽宗赵佶《听琴图》局部,TRUE
